ANNO,CDPELL,CDSOTSEZ,CDGRUPAR,DATAACC,ACCONTO,NRRICEV,TIMESTP
2007,04,17,000280,20070617,   222.50,898      ,20071116165913498
2007,04,17,000290,20070616,  1340.00,449      ,20070624160553344
2007,04,17,000292,20070616,  1200.00,452      ,20070624161007485
2007,04,17,000292,20070621,   142.50,471      ,20070624164730657
2007,04,17,000292,20070626,   335.00,494      ,20070626182808843
2007,04,17,000326,20070614,   440.00,445      ,20070624160237688
2007,04,17,000341,20070612,    92.50,429      ,20070624153121157
2007,04,17,000344,20070512,   335.00,261      ,20070623113434438
2007,04,17,000377,20070707,   235.00,538      ,20070826161928171
2007,04,17,000534,20070712,   420.00,594      ,20070713175731078
2007,04,17,000534,20070713,   210.00,595      ,20070713175623046
2007,04,17,000534,20070714,   315.00,570      ,20070826160525828
2007,04,17,000625,20070612,   670.00,436      ,20070624155635000
2007,04,17,000625,20070618,   630.00,456      ,20070624161255875
2007,04,17,000625,20070703,   235.00,531      ,20070712120635312
2007,04,17,000660,20070713,   210.00,596      ,20070713175804156
2007,04,17,000660,20070719,   335.00,676      ,20070826161516515
2007,05,01,000001,20070716,   235.00,638      ,20070828181814343
2007,05,17,000017,20070619,   620.00,463      ,20070821153605328
2007,05,17,000017,20070621,   335.00,466      ,20070821153300781
2007,05,17,000017,20070715,    80.00,643      ,20070821153042281
2007,05,17,000017,20070716,   105.00,644      ,20070716210323546
2007,05,17,000031,20070609,   687.50,405      ,20070623171643282
2007,05,17,000040,20070609,   905.00,412      ,20070623172707485
2007,05,17,000080,20070601,   335.00,320      ,20070623114213485
2007,05,17,000080,20070716,   210.00,647      ,20070716210153718
2007,05,17,000092,20070714,   305.00,612      ,20070715175206718
2007,05,17,000092,20070716,   235.00,640      ,20070716211216062
2007,05,17,000092,20070901,    30.00,921      ,20071116164321073
2007,05,17,000102,20070716,   445.00,637      ,20070716211544906
2007,05,17,000107,20070625,  3050.00,490      ,20070626170828937
2007,05,17,000113,20070714,   335.00,614      ,20070715175308578
2007,05,17,000120,20070626,  1910.00,497      ,20070626182846687
2007,05,17,000122,20070716,   315.00,641      ,20070716210703453
2007,05,17,000163,20070716,   335.00,632      ,20070716212057421
2007,05,17,000163,20071020,   322.50,1073     ,20071116163112896
2007,05,17,000170,20070619,   335.00,460      ,20070624161733782
2007,05,17,000170,20070626,   452.50,492      ,20070626182727906
2007,05,17,000191,20070715,   235.00,635      ,20071117111413723
2007,05,17,000191,20070716,   587.50,639      ,20070716211252937
2007,05,17,000191,20071115,   335.00,banca    ,20071116151807173
2007,05,17,000196,20070702,   670.00,517      ,20070828183454640
2007,05,17,000214,20070702,   335.00,526      ,20070702103941687
2007,05,17,000237,20070810,   210.00,794      ,20070810085418812
2007,05,17,000258,20070625,   335.00,482      ,20070626170448718
2007,05,17,000258,20070627,   420.00,504      ,20070627112412453
2007,05,17,000258,20070715,   550.00,633      ,20070716212016484
2007,05,17,000258,20070716,   620.00,636      ,20070716211658046
2007,05,17,000261,20070716,   235.00,642      ,20070716210509796
2007,05,17,000264,20070601,   335.00,317      ,20070623114039625
2007,05,17,000280,20070616,   955.00,453      ,20070624161046157
2007,05,17,000280,20070625,   335.00,483      ,20070821160916734
2007,05,17,000280,20070629,   335.00,515      ,20070821160953296
2007,05,17,000290,20070611,  2010.00,422      ,20070624152909157
2007,05,17,000290,20070628,   470.00,511      ,20070629184920171
2007,05,17,000290,20070716,   445.00,631      ,20070716212206890
2007,05,17,000290,20070828,   335.00,911      ,20070829114834964
2007,05,17,000290,20070829,  1400.00,910      ,20070829114717261
2007,05,17,000290,20070918,  1460.00,991      ,20071002184646078
2007,05,17,000292,20070621,   700.00,468      ,20070624162033938
2007,05,17,000292,20070712,  1072.50,580      ,20070712190036265
2007,05,17,000301,20070703,   117.50,532      ,20070712120529750
2007,05,17,000326,20070612,   105.00,427      ,20070624153033375
2007,05,17,000341,20070713,  1005.00,600      ,20070713175835250
2007,05,17,000534,02070716,   210.00,634      ,20080109180451311
2007,05,19,000094,20070724,   210.00,724      ,20070725215840062
2007,05,28,000641,20070716,  3793.00,650      ,20070716210043281
2007,07,01,000001,20070809,   105.00,788      ,20070809160046703
2007,07,04,000004,20070605,   350.00,332      ,20070623114358797
2007,07,07,000007,20070809,   310.00,784      ,20071117091218735
2007,07,07,000345,20070710,   335.00,565      ,20070712184732625
2007,07,17,000003,20070809,   235.00,791      ,20070809155501859
2007,07,17,000017,20070512,   185.00,268      ,20070822155520453
2007,07,17,000017,20070711,   185.00,550      ,20070822115112890
2007,07,17,000017,20070806,    92.50,778      ,20070809162542234
2007,07,17,000017,20070807,    80.00,780      ,20070809162428515
2007,07,17,000017,20070808,     0.00,784      ,20071117091148908
2007,07,17,000017,20070809,   360.00,790      ,20070809155643734
2007,07,17,000017,20070810,    92.50,793      ,20070809163403046
2007,07,17,000017,20070817,    92.50,818      ,20070819163608250
2007,07,17,000017,20070818,    92.50,819      ,20070819163650359
2007,07,17,000031,20070809,   235.00,777      ,20070809162631125
2007,07,17,000040,20070628,   587.50,513      ,20070629184956703
2007,07,17,000040,20070712,   532.50,575      ,20070822150510156
2007,07,17,000080,20070809,   210.00,786      ,20070809160642453
2007,07,17,000092,20070728,  1245.00,748      ,20070822151020312
2007,07,17,000102,20070809,   630.00,785      ,20070809160747687
2007,07,17,000107,20070710,   335.00,554      ,20070712184803781
2007,07,17,000113,20070714,   570.00,613      ,20070715175241562
2007,07,17,000120,20070724,    92.50,725      ,20070822151929187
2007,07,17,000122,20070818,   210.00,821      ,20070819163845062
2007,07,17,000122,20070820,   172.50,877      ,20070820161432957
2007,07,17,000163,20070710,   335.00,552      ,20070712184911437
2007,07,17,000163,20070711,   335.00,549      ,20070712185151328
2007,07,17,000163,20070714,   300.00,629      ,20070715175802906
2007,07,17,000163,20070715,   335.00,628      ,20070715175723890
2007,07,17,000163,20070915,   362.50,987      ,20071002185034671
2007,07,17,000170,20070809,   235.00,783      ,20070809160927343
2007,07,17,000191,20070709,   335.00,542      ,20070712185640265
2007,07,17,000191,20070710,   335.00,548      ,20070713133116265
2007,07,17,000191,20070711,   450.00,544      ,20070712185545921
2007,07,17,000191,20070712,   235.00,543      ,20070712185613390
2007,07,17,000191,20070713,   335.00,624      ,20070715175624359
2007,07,17,000191,20070714,   825.00,602      ,20070714153304437
2007,07,17,000191,20070715,   335.00,606      ,20070714183702453
2007,07,17,000196,20070725,   235.00,734      ,20070726162714484
2007,07,17,000196,20071115,   335.00,banca    ,20071116151839351
2007,07,17,000237,20070710,   105.00,794      ,20070810085446328
2007,07,17,000237,20070717,    32.50,658      ,20070822115800218
2007,07,17,000237,20070818,   117.50,815      ,20070819155014265
2007,07,17,000241,20070703,   130.00,534      ,20070712120447812
2007,07,17,000258,20070710,   335.00,553      ,20070822154519203
2007,07,17,000258,20070721,   235.00,691      ,20070723113646093
2007,07,17,000258,20070817,   105.00,817      ,20070819163505343
2007,07,17,000258,20070818,   105.00,816      ,20070819155058437
2007,07,17,000261,20070818,   105.00,836      ,20070819165336609
2007,07,17,000264,20070710,   335.00,553      ,20070712184839968
2007,07,17,000271,20070512,   335.00,268      ,20070822160153078
2007,07,17,000271,20070710,   670.00,541      ,20070712185945265
2007,07,17,000280,20070710,   335.00,545      ,20070712185503140
2007,07,17,000280,20070711,   285.00,568      ,20070713113008968
2007,07,17,000280,20070712,   335.00,567      ,20070712153213796
2007,07,17,000280,20070714,   335.00,616      ,20070715175352843
2007,07,17,000280,20070715,   210.00,619      ,20080109173519013
2007,07,17,000280,20070818,    80.00,814      ,20070819154936203
2007,07,17,000280,20071115,   335.00,banca    ,20071116151926397
2007,07,17,000280,22001012,   335.00,banca    ,20071116152424860
2007,07,17,000290,20070918,  1115.00,990      ,20071002184754187
2007,07,17,000292,20070621,  1000.00,469      ,20070624164537469
