03,000400,GRUPPO SCHILPARIO,12345678901234567
03,000406,GRUPPO CASAZZA,12345678901234567
03,000407,GRUPPO CASNIGO,12345678901234567
03,000408,GRUPPO VILLAGGIO SPOSI,12345678901234567
03,000513,GRUPPO TRESCORE BALNEARIO,12345678901234567
03,000514,GRUPPO VILLA ALME,12345678901234567
03,000515,GRUPPO ZANDOBBIO,12345678901234567
03,000518,GRUPPO DI STEZZANO,12345678901234567
03,000540,PARR.DI MORNICO AL SERIO,12345678901234567
03,000548,PARROCCHIA DI GANDINO,12345678901234567
03,000555,GRUPPO DI VERTOVA,12345678901234567
03,000634,GRUPPO DI CENE,12345678901234567
03,000652,GRUPPO DI ALBINO,12345678901234567
03,000679,GRUPPO DI ZINGONIA,12345678901234567
04,000004,BOLLATE,12345678901234567
04,000016,GRUPPO DI ARESE,12345678901234567
04,000022,GRUPPO DI BARANZATE,12345678901234567
04,000071,GRUPPO DI CASSINA NUOVA,12345678901234567
04,000129,GRUPPO DI GARBAGNATE MIL.,12345678901234567
04,000198,GRUPPO NOVATE MILANESE,12345678901234567
04,000209,GRUPPO DI OSPIATE,12345678901234567
04,000289,GRUPPO DI SENAGO,12345678901234567
04,000523,GRUPPO DI NOVA MILANESE 2,12345678901234567
05,000005,BRESCIA,12345678901234567
05,000050,"""IL CARDO""",12345678901234567
05,000053,GRUPPO DI CAPRIOLO,12345678901234567
05,000075,GRUPPO DI PARATICO ROVATO,12345678901234567
05,000082,GRUPPO DI CELLATICA,12345678901234567
05,000089,GRUPPO DI CHIARI,12345678901234567
05,000124,GRUPPO DI EDOLO,12345678901234567
05,000135,GRUPPO DI GHEDI,12345678901234567
05,000148,GRUPPO DISEO,12345678901234567
05,000192,GRUPPO NAVE,12345678901234567
05,000215,GRUPPO PALAZZOLO S/OGLIO,12345678901234567
05,000231,GRUPPO DI PONTEDILEGNO,12345678901234567
05,000232,GRUPPO DI PONTOGLIO,12345678901234567
05,000281,GRUPPO SAN POLO,12345678901234567
05,000282,GRUPPO REZZATO,12345678901234567
05,000283,GRUPPO DI SAREZZO,12345678901234567
05,000312,GRUPPO DI LODRINO,12345678901234567
05,000337,GRUPPO DI VEROLAVECCHIA,12345678901234567
05,000514,GRUPPO DI PALOSCO,12345678901234567
05,000515,GRUPPO DI MARONE,12345678901234567
05,000516,GRUPPO DI CASA INDUSTRIA,12345678901234567
05,000530,GRUPPO DI VAL SABBIA,12345678901234567
05,000531,GRUPPO GARDA,12345678901234567
05,000539,GRUPPO SERLE,12345678901234567
05,000546,GRUPPO CASTREZZATO,12345678901234567
05,000554,GRUPPO BAGNOLO MELLA,12345678901234567
05,000647,GRUPPO DI CALVISANO,12345678901234567
05,000648,GRUPPO DI LODRINO,12345678901234567
05,000651,GRUPPO DI RUDIANO,12345678901234567
05,000654,MOLINETTO,12345678901234567
05,000666,VILLA CARCINA,20000905161218230
05,000667,GRUPPO SALESIANI,20010610154644320
05,000680,VILLAGGIO PREALPINO,19991001082457720
05,000699,GRUPPO DI LOGRATO,20010725104101850
06,000006,CREMA,12345678901234567
07,000007,CERNUSCO S/N,12345678901234567
07,000028,GR.DI BELLINZAGO LOMBARDO,12345678901234567
07,000062,GRUPPO DI CARUGATE,12345678901234567
07,000072,GRUPPO CASSINA DE PECCHI,12345678901234567
07,000099,GRUPPO DI COLOGNO MONZESE,12345678901234567
07,000134,GRUPPO DI GESSATE,12345678901234567
07,000138,GRUPPO DI GORGONZOLA,12345678901234567
07,000147,GRUPPO DI INZAGO,12345678901234567
07,000162,GRUPPO DI LISCATE,12345678901234567
07,000180,GRUPPO DI MELZO,12345678901234567
07,000226,GRUP.PESSANO CON BORNAGO,12345678901234567
07,000228,GRUPPO DI PIOLTELLO,12345678901234567
07,000233,GR.DI POZZUOLO MARTESANA,12345678901234567
07,000345,GRUPPO DI VIMODRONE,12345678901234567
07,000562,GRUPPO DI VIGNATE,12345678901234567
08,000004,GRUPPO DI ALBATE,12345678901234567
08,000008,COMO,12345678901234567
08,000026,GRUPPO DI BELLAGIO,12345678901234567
08,000083,GRUPPO DI CERNOBBIO,12345678901234567
08,000103,GRUPPO DI CAPIAGO,12345678901234567
08,000157,GRUPPO DI LENNO,12345678901234567
08,000247,GRUPPO DI ROVELLASCA,12345678901234567
08,000263,GRUPPO DI SAN FERMO,12345678901234567
08,000413,GRUPPO DI CADORAGO,12345678901234567
08,000509,GRUPPO DI MACCIO,12345678901234567
08,000650,GRUPPO DI GRAVEDONA,12345678901234567
08,000656,GRANDOLA E UNITI,20020910151301689
08,000657,OLGIATE COMASCO,20020910152055236
09,000009,CREMONA,12345678901234567
09,000055,PARROCCHIA B.V.CARAVAGGIO,12345678901234567
09,000063,GRUPPO DI CASALBUTTANO,12345678901234567
09,000064,GRUPPO DI CASALMAGGIORE,12345678901234567
09,000077,GRUPPO DI CASTELLEONE,12345678901234567
09,000109,GRUPPO CORTE DEFRATI,12345678901234567
09,000114,PARROCCHIA DI CRISTO RE,12345678901234567
09,000123,PARROCCHIA DUOMO,12345678901234567
09,000149,GRUPPO DISOLA DOVARESE,12345678901234567
09,000222,GRUPPO PERISO DOSIMO,12345678901234567
09,000225,GRUPPO DI PESCAROLO,12345678901234567
09,000240,GRUPPO DI RIVAROLO DEL RE,12345678901234567
09,000243,GRUPPO DI ROBECCO OGLIO,12345678901234567
09,000250,PARROCCHIA S.ABBONDIO,12345678901234567
09,000268,PARROCCHIA S.MARIA PIETA,12345678901234567
09,000309,GRUPPO DI TORRE PICENARDI,12345678901234567
09,000384,GRUPPO DI SOSPIRO,12345678901234567
