ANNO,CDPELL,CDSOCMZ,FLSETT,CDCTRA,QTCTRA,CDCPER,QTCPER,CDCRID,QTCRID,CDCALT,QTCALT,CDSERV,TMESTP
2007,04,000001053,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070521160132484
2007,04,000001078,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070609184538843
2007,04,000001088,1,A,15.00,1,105.00,1,25.00,0,0.00,02,20080109173857099
2007,04,000001091,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070531173208187
2007,04,000001118,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070604170646437
2007,04,000001147,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523182738187
2007,04,000001154,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070521153335640
2007,04,000001199,1,0,0.00,1,105.00,0,0.00,0,0.00,02,20070820120746559
2007,04,000001204,E,1,25.00,5,310.00,0,0.00,0,0.00,03,20070521153938171
2007,04,000001207,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070829134635214
2007,04,000001221,E,1,25.00,3,210.00,0,235.00,0,0.00,02,20070714182923328
2007,04,000001224,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070521155649078
2007,04,000001235,E,R,12.50,3,210.00,0,0.00,0,0.00,02,20080109164950196
2007,04,000001253,E,1,25.00,3,210.00,0,40.00,0,0.00,02,20070826160822453
2007,04,000001254,E,1,25.00,5,310.00,0,0.00,0,0.00,03,20070523182304437
2007,04,000001255,E,1,25.00,5,310.00,0,0.00,0,0.00,03,20070521155521578
2007,04,000001257,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070521161845703
2007,04,000001262,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523181814625
2007,04,000001263,1,0,0.00,1,105.00,0,0.00,0,0.00,02,20070727134705625
2007,04,000001282,2,R,12.50,1,105.00,0,0.00,0,0.00,02,20070820094159359
2007,04,000001313,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070521161034625
2007,04,000001346,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20071116151538203
2007,04,000001355,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070521114124953
2007,04,000001360,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070521152807390
2007,04,000001361,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070521114340390
2007,04,000001362,E,1,25.00,5,310.00,0,0.00,0,0.00,03,20070521154940406
2007,04,000001364,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070605184724062
2007,04,000001369,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070521114417187
2007,04,000001373,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070521114230343
2007,04,000001375,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523181358000
2007,04,000001378,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070727133609296
2007,04,000001390,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523181434359
2007,04,000001407,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070521114020000
2007,04,000001443,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070521112928484
2007,04,000001455,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070727134514671
2007,04,000001471,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070531172714265
2007,04,000001502,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070524162226187
2007,04,000001503,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070521152144015
2007,04,000001504,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070521112727484
2007,04,000001569,E,1,25.00,6,335.00,0,0.00,0,0.00,01,20070524162237609
2007,04,000001572,1,A,12.50,9,150.00,0,0.00,0,0.00,02,20070526162803187
2007,04,000001573,2,0,0.00,9,150.00,0,0.00,0,0.00,02,20070526162824328
2007,04,000001576,E,1,25.00,6,335.00,0,0.00,0,0.00,03,20070820092111468
2007,04,000001578,E,1,25.00,6,335.00,0,0.00,0,0.00,01,20070524175834531
2007,04,000001584,1,A,12.50,9,150.00,0,0.00,0,0.00,02,20070526162911812
2007,04,000001585,E,0,0.00,3,210.00,5,210.00,0,0.00,02,20080109171651612
2007,04,000001586,E,1,25.00,6,335.00,0,0.00,0,0.00,01,20070524174614312
2007,04,000001587,E,1,25.00,6,335.00,0,0.00,0,0.00,01,20070525085858875
2007,04,000001593,E,1,25.00,8,295.00,0,0.00,0,0.00,02,20070524175745750
2007,04,000001595,E,1,25.00,6,335.00,0,0.00,0,0.00,01,20070524163820875
2007,04,000001596,E,1,25.00,6,335.00,0,0.00,0,0.00,01,20070524174119375
2007,04,000001601,E,1,25.00,8,295.00,0,0.00,0,0.00,02,20070524180127093
2007,04,000001616,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070524173645703
2007,04,000001617,2,0,0.00,1,105.00,0,0.00,0,0.00,02,20070609184238437
2007,04,000001618,2,0,0.00,1,105.00,0,0.00,0,0.00,02,20070609184304218
2007,04,000001619,2,0,0.00,1,105.00,0,0.00,0,0.00,02,20070609184142937
2007,04,000001641,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070609183937671
2007,04,000001642,2,0,0.00,1,105.00,0,0.00,0,0.00,02,20070820093712062
2007,04,000001644,E,0,0.00,3,210.00,2,210.00,0,0.00,02,20070531172816906
2007,04,000001646,E,1,0.00,2,0.00,0,0.00,0,0.00,01,20080403174148511
2007,04,000001789,E,1,10.00,3,210.00,0,0.00,0,0.00,02,20080109170904154
2007,04,000001961,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070820085318937
2007,04,000001967,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070521113706703
2007,04,000002042,E,0,0.00,2,310.00,0,0.00,0,0.00,01,20070521152957468
2007,04,000002043,E,0,15.00,5,310.00,0,0.00,0,0.00,03,20080109173937092
