ANNO,CDPELL,MESE,GIORNO,DSPELL,ISBLOCK,TMESTP
2015,83,10,11,MORIMONDO,,20150929091617226
2015,84,01,01,ETICHETTE GROTTA,,20151010102410828
2015,85,12,28,BORGHETTO INVER.2016,,20151114140837625
2016,00,01,01,ETICHETTE GROTTA,,20160109160426359
2016,01,01,01,ABBONAMENTO CHARITAS,,20160109160503609
2016,02,01,01,ABBONAMENTO LA GROTT,,20160109160529515
2016,03,02,10,LOURDES,,20160111115525328
2016,04,01,01,ELENCO GENERALE AGGR,,20160111115601312
2016,05,01,01,AGGREGATI GENNAIO,,20160111115631125
2016,06,02,01,AGGREGATI FEBBRAIO,,20160111115744968
2016,07,03,01,AGGREGATI MARZO,,20160111115800046
2016,08,04,01,AGGREGATI APRILE,,20160111115814765
2016,09,05,01,AGGREGATI MAGGIO,,20160111115842578
2016,10,06,01,AGGREGATI GIUGNO,,20160111115907859
2016,11,07,01,AGGREGATI LUGLIO,,20160111115932250
2016,12,08,01,AGGREGATI AGOSTO,,20160112212124890
2016,13,09,01,AGGREGATI SETTEMBRE,,20160112212159484
2016,14,10,01,AGGREGATI OTTOBRE,,20160112212221546
2016,15,11,01,AGGREGATI NOVEMBRE,,20160112212245828
2016,16,12,01,AGGREGATI DICEMBRE,,20160112212309046
2016,17,01,01,AMICI DI BORGHETTO,,20160112212336468
2016,18,01,01,IMP.MENSILE BORGHETT,,20160112212426500
2016,19,01,01,MATTONI BORGHETTO,,20160112212451718
2016,20,01,01,OFFERTE BORGHETTO,,20160112212513781
2016,21,01,01,PROGETTO SALVADANAI,,20160112212540406
2016,22,01,01,ABITARE A DISTANZA,,20160112212607187
2016,23,01,01,MAGLIETTE BORGHETTO,,20160112212744390
2016,24,01,01,WEEK AND BORGHETTO,,20160112212854750
2016,25,12,01,BORGHETTO INVERNO,,20160112225125218
2016,26,01,01,OFF.PASTI BORGHETTO,,20160112225211671
2016,27,01,01,LOTTERIE BORGHETTO,,20160112225238859
2016,28,04,10,SPETT.BORGHETTO 10/4,,20160220145829578
2016,29,12,08,PROMO LENTICCHIE,,20161124150246765
2016,30,01,14,CORSO FORM.NE ROMA,,20160112232413671
2016,31,01,01,OFFERTE SEDE,,20160112225659171
2016,32,03,05,G.N.UNITALSI (ULIVI),,20160112230004390
2016,33,01,01,SOSTENITORI,,20160112230027609
2016,34,01,01,OFF.PER CHERNOBYL,,20160112230052046
2016,35,03,14,PELL.GIUBILEO ROMA,,20160112232205406
2016,36,05,15,PELL.CARAVAGGIO,,20160119162907062
2016,37,05,08,LOURDES TRENO,,20160114145149171
2016,38,05,09,LOURDES AEREO,,20160114145113765
2016,39,05,29,LOURDES PULLMAN,,20160114145317578
2016,40,05,30,LOURDES AEREO,,20160114145331859
2016,41,07,31,LOURDES PULLMAN,,20160114145603343
2016,42,08,01,LOURDES AEREO,,20160114145625515
2016,43,09,18,LOURDES PULLMAN,,20160728145959531
2016,44,09,19,LOURDE AEREO,,20160114145714203
2016,45,09,26,LOURDES NAZ.LE PULLM,,20160114145906984
2016,46,09,27,LOURDES AEREO NAZION,,20160114145953421
2016,47,10,09,LOURDES PULLMAN,,20160114150150609
2016,48,10,10,LOURDES AEREO,,20160114150200187
2016,49,10,12,LOURDES TRENO,,20160114150305078
2016,50,10,13,LOURDES AEREO,,20160114150331453
2016,51,05,20,LORETO,,20160412152724234
2016,52,09,02,LORETO,,20160114150443437
2016,53,04,03,MARATONA MILANO,,20160204170614546
2016,54,05,15,CARAVAGGIO SERALE,,20160121000212968
2016,55,04,13,TERRASANTA,,20160123143307609
2016,56,11,01,6 RUOTE DI SPERANZA,,20160119162617531
2016,57,05,08,COM.COLORI VARENNA,,20160421075234781
2016,58,11,27,GIORNATA DELL'ADESIO,,20160121000327234
2016,59,06,19,BORGHETTO MONZA 1°,,20160121000355593
2016,60,07,03,BORGHETTO MONZA 2°,,20160123144014812
2016,61,07,17,BORGHETTO MONZA 3°,,20160123144212781
2016,62,07,31,BORGHETTO MONZA 4°,,20160123144224828
2016,63,03,24,BORGHETTO PASQUA,,20160309201620734
2016,64,08,14,BORGHETTO SARONNO,,20160123145032968
2016,65,02,11,IMMAGINI G.M.A.,,20160123145115484
2016,66,06,05,BORGHETTO BRESCIA,,20160123145220750
2016,67,01,01,SOMME DISPON. GRUPPI,,20160123145313484
2016,68,06,26,BELVEDERE R.LOMBARDI,,20160514101200812
2016,69,06,18,CORSO CLOWN 2° LIVEL,,20160609080048546
2016,70,07,30,COM.COLORI VAL MASIN,,20160721131813843
2016,71,06,02,BORGHETTO COM.COLORI,,20160123145534750
2016,72,09,18,C.COL. LAGO D'ORTA,,20160909100700125
2016,73,09,24,CORSO CLOWN 1°LIVELL,,20161024152044859
2016,74,04,28,BORGHETTO CHERNOBYL,,20160123145825406
2016,75,09,19,PULLMAN MALPENSA,,20160910113157000
2016,76,07,01,BANNEAUX,,20160123150150812
2016,77,09,18,PULLMAN LOURDES,,20160910113232468
2016,78,01,01,CONTRIBUTO ARIA COND,,20160123150310140
2016,79,12,09,CESTI NORCI/BORGHETT,,20161126171827500
2016,80,04,10,COM.COLORI ZANEVREDO,,20160401090957953
2016,81,08,28,BORGHETTO BG - SO,,20160123150433625
2016,82,00,00,BORGHETTO SUDOVEST,,20160123150457875
2016,83,00,00,,,20161216104315906
2016,84,00,00,,,20161111081750078
2016,85,00,00,,,20160123150532937
2017,01,02,10,LOURDES,,20161117165034284
2017,02,01,01,ABBONAMENTO CHARITAS,,20161215162624046
2017,03,01,01,ABBONAMENTO LA GROTT,,20161215162644156
2017,04,01,01,ELENCO GENERALE AGGR,,20170110080242468
2017,05,01,01,AGGREGATI GENNAIO,,20170110080309515
2017,06,02,01,AGGREGATI FEBBRAIO,,20170110080331125
2017,07,03,01,AGGREGATI MARZO,,20170110080349171
2017,08,04,01,AGGREGATI APRILE,,20170110080408625
2017,09,05,01,AGGREGATI MAGGIO,,20170110080431937
2017,10,06,01,AGGREGATI GIUGNO,,20170110080451343
2017,11,07,01,AGGREGATI LUGLIO,,20170110080511140
2017,12,08,01,AGGREGATI AGOSTO,,20170110080540156
2017,13,09,01,AGGREGATI SETTEMBRE,,20170110080601515
2017,14,10,01,AGGREGATI OTTOBRE,,20170110080626562
2017,15,11,01,AGGREGATI NOVEMBRE,,20170110080644171
2017,16,12,01,AGGREGATI DICEMBRE,,20170110080659625
2017,17,01,01,AMICI DI BORGHETTO,,20161201162227734
2017,18,01,01,IMP.MENSILE BORGHETT,,20170110080759328
2017,19,01,01,MATTONI BORGHETTO,,20170110080841734
2017,20,01,01,OFFERTE BORGHETTO,,20170110080908828
2017,21,01,01,PROGETTO SALVADANAI,,20170110080935234
2017,22,01,01,ABITARE A DISTANZA,,20170110080957328
2017,23,01,01,MAGLIETTE BORGHETTO,,20170110081023937
2017,24,01,01,WEEK AND BORGHETTO,,20170111161920734
2017,25,12,28,BORGHETTO INVERNO,,20170110081129828
2017,26,01,01,OFF.PASTI BORGHETTO,,20170110081204265
2017,27,01,01,LOTTERIE BORGHETTO,,20170110081234468
2017,28,05,07,SPETT.BORGHETTO,,20170110081309671
2017,29,12,08,PROMO LENTICCHIE,,20170110081343468
2017,30,01,01,OFFERTE CHERNOBYL,,20170110081450671
2017,31,01,01,CONTR.ARIA CONDIZION,,20170111162103921
2017,32,01,01,OFFERTE SEDE,,20170111162149984
2017,33,01,13,CORSO FORMAZIONE ROM,,20170111162218312
2017,34,03,19,G.N.UNITALSI (ULIVI),,20170121141558921
2017,35,03,05,GIOR.RITIRO TRIUGGIO,,20170121141526484
2017,36,04,02,MARATONA MILANO,,20170121141657796
2017,37,10,22,CONV.BORGHETTO UN'OP,,20170121141841093
2017,38,11,01,6 RUOTE DI SPERANZA,,20170121141915171
2017,39,05,07,LOURDES PULLMAN,,20170121142256531
2017,40,05,08,LOURDES AEREO,,20170121142244343
2017,41,05,28,LOURDES PULLMAN,,20170121142325484
2017,42,05,29,LOURDES AEREO,,20170121142353578
2017,43,07,30,LOURDES PULLMAN,,20170121142422984
2017,44,07,31,LOURDES AEREO,,20170121142515703
2017,45,09,10,LOURDES PULLMAN,,20170121142548406
2017,46,09,11,LOURDES AEREO,,20170121142614265
2017,47,09,25,LOURDES PULLMAN,,20170121142645000
2017,48,09,26,LOURDES AEREO,,20170121142709140
2017,49,10,08,LOURDES PULLMAN,,20170121142739015
2017,50,10,09,LOURDES AEREO,,20170121142809750
2017,51,10,11,LOURDES PULLMAN,,20170121142838812
2017,52,10,12,LOURDES AEREO,,20170121142902734
2017,53,05,12,LORETO,,20170121142953234
2017,54,08,25,LORETO,,20170121143016984
2017,55,10,02,LORETO,,20170121143038765
2017,56,05,14,FATIMA,,20170121143622140
2017,57,10,11,FATIMA,,20170121144611546
2017,58,00,14,CARAVAGGIO,,20170121144638593
2017,59,04,09,BORGHETTO PASQUA,,20170121144953390
2017,60,05,01,BORGHETTO CHERNOBYL,,20170121145108500
2017,61,06,02,BORGHETTO  COM COLOR,,20170121145426937
2017,62,06,04,BORGHETTO LIBERO,,20170121145819343
2017,63,06,18,1°TURNO BORGHETTO,,20170121150236687
2017,64,07,02,2°TURNO BORGHETTO,,20170121150338906
2017,65,07,16,3°TURNO BORGHETTO,,20170121152039703
2017,66,07,30,4°TURNO BORGHETTO,,20170121152110343
2017,67,08,13,BORGHETTO SARONNO,,20170121152143500
2017,68,08,27,BORGHETTO BG - SO,,20170121152235843
2017,69,09,10,BORGHETTO MI SUD OVE,,20170121152508578
2017,70,02,11,IMM.G.M.AMM.,,20170121152549531
2017,71,01,00,FONDI A DISP.GRUPPO,,20170131082923514
2017,72,02,15,OLIO PER FIN.TO SOTT,,20170215170040578
