ANNO,CDPELL,CDBUS,FLAGAR,POSTO,CDSOCMZ,TMESTP
2007,04,3,R,004,000001204,20070609183841125
2007,04,3,R,005,000002223,20070609183845203
2007,04,3,R,006,000001616,20070609183851406
2007,05,1,A,001,000001121,20070622195639313
2007,05,1,A,007,000002377,20070622195730657
2007,05,1,A,008,000001397,20070622195739563
2007,05,1,A,009,000001120,20070622195747547
2007,05,1,A,010,000001104,20070622195757141
2007,05,1,A,011,000001526,20070622195804391
2007,05,1,A,012,000001525,20070622195812860
2007,05,1,A,013,000001251,20070622195824422
2007,05,1,A,014,000001465,20070622195831719
2007,05,1,A,015,000001223,20070622195850329
2007,05,1,A,016,000001449,20070622195855938
2007,05,1,A,017,000001979,20070622195902485
2007,05,1,A,019,000001016,20070622195914641
2007,05,1,A,020,000001098,20070622195917938
2007,05,1,A,021,000001300,20070622195924204
2007,05,1,A,022,000001415,20070622195931782
2007,05,1,A,023,000002220,20070622195934813
2007,05,1,A,024,000001370,20070622195940719
2007,05,1,A,026,000001306,20070622195952172
2007,05,1,A,029,000001498,20070622200014110
2007,05,1,A,030,000001359,20070622200019641
2007,05,1,A,031,000001029,20070622200023235
2007,05,1,A,032,000001647,20070622200029657
2007,05,1,A,033,000001406,20070622200035969
2007,05,1,A,034,000001071,20070622200042579
2007,05,1,A,036,000001109,20070622200053907
2007,05,1,A,038,000001122,20070622200102782
2007,05,1,A,039,000001560,20070622200107235
2007,05,1,A,040,000001633,20070622200112235
2007,05,1,A,041,000001630,20070622200118875
2007,05,1,A,042,000001358,20070622200121735
2007,05,1,A,043,000001429,20070622200124719
2007,05,1,A,044,000001400,20070622200959657
2007,05,1,R,001,000001121,20070622195639329
2007,05,1,R,007,000002377,20070622195730657
2007,05,1,R,008,000001397,20070622195739563
2007,05,1,R,009,000001120,20070622195747547
2007,05,1,R,010,000001104,20070622195757141
2007,05,1,R,011,000001526,20070622195804391
2007,05,1,R,012,000001525,20070622195812860
2007,05,1,R,013,000001251,20070622195824422
2007,05,1,R,014,000001465,20070622195831719
2007,05,1,R,015,000001223,20070622195850329
2007,05,1,R,016,000001449,20070622195855938
2007,05,1,R,017,000001979,20070622195902485
2007,05,1,R,019,000001016,20070622195914641
2007,05,1,R,020,000001098,20070622195917938
2007,05,1,R,021,000001300,20070622195924204
2007,05,1,R,022,000001415,20070622195931782
2007,05,1,R,023,000002220,20070622195934813
2007,05,1,R,024,000001370,20070622195940719
2007,05,1,R,026,000001306,20070622195952172
2007,05,1,R,029,000001498,20070622200014125
2007,05,1,R,030,000001359,20070622200019641
2007,05,1,R,031,000001029,20070622200023235
